Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Layout,Elevator,Janitor,Parking-Space,Closing-Date,Price
120.94339436403817,24.799731975449227,34,43.85,透天厝,住家用,全/二層,3房2廳2衛,無,無,0,112/08/31,"10,600,000"
121.01394483566754,24.787761029341752,6,30.53,華廈(10層含以下有電梯),住家用,三層/九層,2房2廳1衛,有,有,1,112/08/25,"16,500,000"
120.97872180589903,24.81648924894347,16,38.12,透天厝,住商用,全/五層,5房2廳4衛,無,無,2,112/08/25,"10,250,000"
120.95309619892636,24.80275991006005,14,56.42,住宅大樓(11層含以上有電梯),住家用,四層/十四層,3房2廳2衛,有,有,1,112/08/03,"15,600,000"
120.96463224492307,24.82713129730061,4,37.45,華廈(10層含以下有電梯),住家用,三層/九層,2房1廳1衛,有,有,1,112/08/27,"14,600,000"
121.01013748135694,24.791183189331147,12,43.59,住宅大樓(11層含以上有電梯),住家用,三層/十二層,3房2廳2衛,有,有,1,112/08/10,"21,550,000"
120.96675219270654,24.81653221192468,26,48.91,華廈(10層含以下有電梯),住家用,四層/七層,3房2廳2衛,有,有,1,112/08/03,"12,580,000"
120.95309619892636,24.80275991006005,14,61.34,住宅大樓(11層含以上有電梯),住家用,十三層/十三層,4房2廳2衛,有,有,1,112/08/08,"17,500,000"
121.01259011786965,24.78980161812669,4,53.84,住宅大樓(11層含以上有電梯),住家用,十六層/二十九層,3房2廳2衛,有,有,1,112/08/17,"25,600,000"
121.00972207991866,24.791029724698213,10,31.74,住宅大樓(11層含以上有電梯),住家用,十二層/十四層,1房1廳1衛,有,有,1,112/08/05,"16,000,000"
120.96762674789728,24.800985115495102,35,7.13,住宅大樓(11層含以上有電梯),住家用,六層/十二層,1房1廳1衛,有,有,0,112/08/21,"1,390,000"
120.998457054414,24.796871556099973,32,10.37,華廈(10層含以下有電梯),住家用,四層/七層,1房1廳1衛,有,有,0,112/08/29,"3,460,000"
120.93104757603308,24.840797871788606,44,35.82,透天厝,住家用,全/二層,3房2廳2衛,無,無,0,112/08/14,"6,500,000"
120.96830564222645,24.77616553725652,19,15.26,華廈(10層含以下有電梯),住家用,地下二層/四層,1房1廳1衛,有,有,0,112/08/23,"3,950,000"
