AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,pimg,pu,punit,r,reid,s,sq,t,tp,tunit,twn,type,unit,v
住,,竹光路０００８號７樓之２０#竹光路８號７樓之２０,住宅大樓(11層含以上有電梯),,56.52%,O,,,112/09/24,有,,七層/十四層,,27,49,1,1,0,24.815104414943868,120.96147018035924,有,,總價/總面積,陽台外推;,"318,046",bt_05.png,住家用,1,40,,10.53,JErNUxRs3MufN1zmphN/rvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,350,000",1,O01,Biz,2,1房1廳1衛
住,,東大路三段０３２６號七樓之３１#東大路三段３２６號七樓之３１,華廈(10層含以下有電梯),,49.57%,O,,,112/09/25,有,61.95%,七層/八層,,8,50,2,1,1,24.83487261205569,120.94703906166778,有,,總價/總面積,,"314,063",bt_06.png,住家用,1,105,,52.86,qaIo5au5JrDgO9eFyhPEvPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,600,000",1,O01,Biz,2,3房2廳2衛
住,,長興街２７６巷００１８號三樓之１#長興街２７６巷１８號三樓之１,華廈(10層含以下有電梯),,59.88%,O,,,112/09/03,有,,三層/五層,1,,51,1,1,1,24.75067836092475,120.90566799176621,有,,總價/總面積,陽台外推;,"188,691",bt_06.png,其他,1,25,,34.98,wuQQrwk9fCslySZt9FjanvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"6,600,000",1,O01,Biz,2,3房2廳2衛
住,,長興街２７６巷００１８號三樓之２#長興街２７６巷１８號三樓之２,華廈(10層含以下有電梯),,61.13%,O,,,112/09/03,有,,三層/五層,1,,52,1,1,1,24.75067836092475,120.90566799176621,有,,總價/總面積,陽台外推;,"202,288",bt_06.png,其他,1,25,,34.11,Zn5SVspr+T/4Cb2ad/KzCvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"6,900,000",1,O01,Biz,2,3房2廳2衛
住,,長興街２７６巷００１８號四樓之１#長興街２７６巷１８號四樓之１,華廈(10層含以下有電梯),,60.50%,O,,,112/09/09,有,,四層/五層,1,,53,1,1,2,24.75067836092475,120.90566799176621,有,,總價/總面積,陽台外推;,"188,165",bt_06.png,其他,1,25,,69.09,+AAIYypow3H3eUy27lQK7fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"13,000,000",1,O01,Biz,2,2房2廳2衛
住,,長興街２７６巷００１８號四樓之３#長興街２７６巷１８號四樓之３,華廈(10層含以下有電梯),,59.12%,O,,,112/09/10,有,,四層/五層,1,,54,1,1,1,24.75067836092475,120.90566799176621,有,,總價/總面積,陽台外推;,"198,711",bt_06.png,其他,1,25,,34.02,MSlc+BQbF9l++pZ2C+kejPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"6,760,000",1,O01,Biz,2,3房2廳2衛
住,,長興街２７６巷００１８號五樓之３#長興街２７６巷１８號五樓之３,華廈(10層含以下有電梯),,59.12%,O,,,112/09/09,有,,五層/五層,1,,55,1,1,1,24.75067836092475,120.90566799176621,有,,總價/總面積,陽台外推;,"249,858",bt_06.png,其他,1,25,,34.02,VUq9IK+LWWjEMYrVHjCLPPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"8,500,000",1,O01,Biz,2,3房2廳2衛
住,,長興街２７６巷００１８號五樓之５#長興街２７６巷１８號五樓之５,華廈(10層含以下有電梯),,59.48%,O,,,112/09/06,有,,五層/五層,1,,56,1,1,1,24.75067836092475,120.90566799176621,有,,總價/總面積,陽台外推;,"200,823",bt_06.png,其他,1,25,,33.26,xVzW7h/aQUVyMRwefRM4PPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"6,680,000",1,O01,Biz,2,3房2廳2衛
商,,經國路二段０１８５號四樓之２#經國路二段１８５號四樓之２,住宅大樓(11層含以上有電梯),,52.11%,O,,,112/09/08,有,61.95%,四層/十一層,,15,57,1,1,1,24.81076213564231,120.96339052778359,有,,總價/總面積,,"350,179",bt_05.png,住家用,1,41,,25.36,7dpGdVw1hkBi1McKIgnVR/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"8,880,000",1,O01,Biz,2,1房1廳1衛
商,,慈雲路０１３７號十五樓之７#慈雲路１３７號十五樓之７,住宅大樓(11層含以上有電梯),,50.29%,O,,,112/09/09,有,,十五層/二十八層,,9,58,1,1,1,24.793115163955886,121.0122937409576,有,,總價/總面積,增建：陽台加窗其他增建;,"510,645",bt_05.png,住家用,1,106,,55.22,6DUtvxjAo5apVOcwKpVZyfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"28,200,000",1,O01,Biz,2,3房2廳2衛
,丙種建築用地,明湖路１０５０巷０１７８號#明湖路１０５０巷１７８號,華廈(10層含以下有電梯),,48.50%,O,,,112/09/11,有,,一層/五層,,29,59,3,1,0,24.76546822281312,120.97731649646525,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"278,076",bt_06.png,住家用,1,85,,17.98,lIukSdonH6M2c+FnnApprPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,000,000",1,O01,Biz,2,3房2廳2衛
