longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,sale_floor,total_floor,price
120.9720861,24.80746856,16,93.33,1,1,2,112,4,2,2,1,0,0,0,1,0,0,0,20,29,30000000
120.9479719,24.80437434,10,99.96,0,0,0,112,9,2,10,1,0,1,0,0,1,0,0,0,5,21000000
120.9567124,24.81420929,27,15.3,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,1,5,3580000
120.9257553,24.78921494,19,75.08,0,0,0,112,3,2,3,1,1,0,0,0,0,0,1,0,8,17000000
120.9733115,24.81277762,28,39.7,1,1,1,112,4,2,3,1,0,0,0,1,0,0,0,8,12,9500000
120.9306021,24.84116784,3,41.29,1,1,1,112,3,2,1,1,0,0,0,1,0,0,0,5,14,10680000
120.929427,24.83716763,7,39.46,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,5,7,6700000
121.0088117,24.78466459,32,10.29,0,0,0,112,1,1,1,1,1,0,0,0,0,0,0,2,4,4500000
121.0173465,24.78404991,14,46.76,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,4,15,24680000
120.9559448,24.8029865,15,14.53,1,1,1,112,1,1,1,0,0,0,1,0,0,0,0,9,10,5200000
120.9836607,24.79643731,32,8.71,1,1,0,112,3,2,2,0,0,0,1,0,0,0,1,0,7,2800000
120.9738503,24.79076593,25,44.2,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,3,5,6800000
120.9744322,24.79889181,25,23.36,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,2,5,4450000
120.9744322,24.79889181,25,23.36,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,3,5,4320000
120.9744322,24.79889181,25,23.36,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,4,5,4210000
120.9893673,24.7997423,30,60.91,1,1,1,112,0,0,0,0,0,0,0,1,0,0,0,14,23,12500000
120.9805623,24.81313085,21,36.28,1,1,1,112,5,2,2,1,0,0,0,1,0,0,0,13,13,10000000
120.9750447,24.80252141,15,16.36,1,1,1,112,1,1,1,0,0,0,1,0,0,0,0,8,9,7800000
121.0254054,24.77857739,25,44.85,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,14,14,16350000
120.9554996,24.80313082,14,17.28,1,1,1,112,2,1,1,0,0,0,1,0,0,0,0,8,10,7600000
120.9622379,24.79529582,18,8.21,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,5,6,2800000
120.9880704,24.81232809,9,46.68,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,14,14,20000000
121.0122937,24.79311516,9,56.36,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,15,28,28780000
120.9530962,24.80275991,14,56.42,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,5,14,15000000
121.0209269,24.7862073,13,81.48,1,1,2,112,4,2,2,1,0,0,0,1,0,0,0,7,14,45000000
120.9718662,24.81772502,25,13.45,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,7,7,4380000
120.9510442,24.81432491,29,39.13,0,1,0,112,4,2,2,1,0,1,0,0,1,0,0,0,4,9000000
120.9963897,24.80251442,16,60.89,1,1,2,112,3,2,2,1,0,0,0,1,0,0,0,2,12,25200000
120.9763305,24.80262093,25,22.97,1,0,0,112,2,1,1,1,0,0,1,0,0,0,0,7,7,12200000
121.0023639,24.79639304,16,10.9,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,3,6,5980000
121.0131831,24.78623527,28,26.6,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,10,13,11350000
120.9548631,24.81286348,41,31.83,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,2,5,4900000
